Microsoft Windows [Versione 10.0.17134.345]
(c) 2018 Microsoft Corporation. Tutti i diritti sono riservati.

C:\Users\Andi>CD c:\Users\Andi\Documents\iperf-3.1.3-win64

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
iperf3: interrupt - the client has terminated

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
Connecting to host 192.168.2.140, port 5201
[  4] local 192.168.2.236 port 55020 connected to 192.168.2.140 port 5201
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4] 114.00-115.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 115.00-116.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 116.00-117.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 117.00-118.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 118.00-119.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 119.00-120.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 120.00-121.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 121.00-122.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 122.00-123.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 123.00-124.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 124.00-125.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 125.00-126.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 126.00-127.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 127.00-128.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 128.00-129.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 129.00-130.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 130.00-131.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 131.00-132.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 132.00-133.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 133.00-134.00 sec  11.4 MBytes  11.4 MBytes/sec  1460
[  4] 134.00-135.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 135.00-136.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 136.00-137.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
